Age_Range,Total_Pop_2010,Males_2010,Females_2010
<5,20201362,10319427,9881935
5-9,20348657,10389638,9959019
10-14,20677194,10579862,10097332
15-19,22040343,11303666,10736677
20-24,21585999,11014176,10571823
25-29,21101849,10635591,10466258
30-34,19962099,9996500,9965599
35-39,20179642,10042022,10137620
40-44,20890964,10393977,10496987
45-49,22708591,11209085,11499506
50-54,22298125,10933274,11364851
55-59,19664805,9523648,10141157
60-64,16817924,8077500,8740424
65-69,12435263,5852547,6582716
70-74,9278166,4243972,5034194
75-79,7317795,3182388,4135407
80-84,5743327,2294374,3448953
85-89,3620459,1273867,2346592
90-94,1448366,424387,1023979
95-99,371244,82263,288981
100+,53364,9162,44202
