instname,state,academicyear,tuitionfee02_tf,minimum_wage
Alabama State University,AL,2008,4508.0,6.55
Alabama State University,AL,2009,5460.0,7.25
Alabama State University,AL,2010,6468.0,7.25
Albany State University,GA,1987,442.0,3.35
Albany State University,GA,1988,2301.0,3.35
Albany State University,GA,1989,1476.0,3.35
Albany State University,GA,1990,1611.0,3.8
Albany State University,GA,1991,1704.0,4.25
Albany State University,GA,1992,1794.0,4.25
Albany State University,GA,1993,1731.0,4.25
Albany State University,GA,1994,1771.0,4.25
Albany State University,GA,1995,1932.0,4.25
Albany State University,GA,1996,2034.0,4.75
Albany State University,GA,1997,2139.0,5.15
Albany State University,GA,1998,2244.0,5.15
Albany State University,GA,1999,2176.0,5.15
Albany State University,GA,2000,2254.0,5.15
Albany State University,GA,2001,2398.0,5.15
Albany State University,GA,2002,2476.0,5.15
Albany State University,GA,2003,2564.0,5.15
Albany State University,GA,2004,2774.0,5.15
Albany State University,GA,2005,2896.0,5.15
Albany State University,GA,2006,3022.0,5.15
Albany State University,GA,2007,3142.0,5.85
Albany State University,GA,2008,3308.0,6.55
Albany State University,GA,2009,3450.0,7.25
Albany State University,GA,2010,4062.0,7.25
Alcorn State University,MS,1987,1550.0,3.35
Alcorn State University,MS,1988,1550.0,3.35
Alcorn State University,MS,1989,1550.0,3.35
Alcorn State University,MS,1990,1800.0,3.8
Alcorn State University,MS,1991,1750.0,4.25
Alcorn State University,MS,1992,2068.0,4.25
Alcorn State University,MS,1993,2376.0,4.25
Alcorn State University,MS,1994,2376.0,4.25
Alcorn State University,MS,1995,2389.0,4.25
Alcorn State University,MS,1996,2389.0,4.75
Alcorn State University,MS,1997,2389.0,5.15
Alcorn State University,MS,1998,2429.0,5.15
Alcorn State University,MS,1999,2685.0,5.15
Alcorn State University,MS,2000,2885.0,5.15
Alcorn State University,MS,2001,2785.0,5.15
Alcorn State University,MS,2002,3203.0,5.15
Alcorn State University,MS,2003,3459.0,5.15
Alcorn State University,MS,2004,3459.0,5.15
Alcorn State University,MS,2005,3732.0,5.15
Alcorn State University,MS,2006,3918.0,5.15
Alcorn State University,MS,2007,4156.0,5.85
Alcorn State University,MS,2008,4324.0,6.55
Alcorn State University,MS,2009,4498.0,7.25
Alcorn State University,MS,2010,4498.0,7.25
Angelo State University,TX,1987,870.0,3.35
Angelo State University,TX,1988,738.0,3.35
Angelo State University,TX,1989,774.0,3.35
Angelo State University,TX,1990,832.0,3.8
Angelo State University,TX,1991,915.5842895507808,4.25
Angelo State University,TX,1992,992.0,4.25
Angelo State University,TX,1993,1376.0,4.25
Angelo State University,TX,1994,1584.0,4.25
Angelo State University,TX,1995,1754.0,4.25
Angelo State University,TX,1996,1784.0,4.75
Angelo State University,TX,1997,1904.0,5.15
Angelo State University,TX,1998,2034.0,5.15
Angelo State University,TX,1999,2242.0,5.15
Angelo State University,TX,2000,2320.0,5.15
Angelo State University,TX,2001,1942.0,5.15
Angelo State University,TX,2002,2170.0,5.15
Angelo State University,TX,2003,2506.0,5.15
Angelo State University,TX,2004,2930.0,5.15
Angelo State University,TX,2005,3126.0,5.15
Angelo State University,TX,2006,3521.0,5.15
Angelo State University,TX,2007,3804.0,5.85
Angelo State University,TX,2008,4343.0,6.55
Angelo State University,TX,2009,4596.0,7.25
Angelo State University,TX,2010,5202.0,7.25
Appalachian State University,NC,1987,819.0,3.35
Appalachian State University,NC,1988,853.0,3.35
Appalachian State University,NC,1989,882.0,3.35
Appalachian State University,NC,1990,1003.0,3.8
Appalachian State University,NC,1991,1083.93505859375,4.25
Appalachian State University,NC,1992,1166.0,4.25
Appalachian State University,NC,1993,1264.0,4.25
Appalachian State University,NC,1994,1459.0,4.25
Appalachian State University,NC,1995,1508.0,4.25
Appalachian State University,NC,1996,1627.0,4.75
Appalachian State University,NC,1997,1663.0,5.15
Appalachian State University,NC,1998,1703.0,5.15
Appalachian State University,NC,1999,1753.0,5.15
Appalachian State University,NC,2000,1831.0,5.15
Appalachian State University,NC,2001,1988.0,5.15
Appalachian State University,NC,2002,2308.0,5.15
Appalachian State University,NC,2003,2795.0,5.15
Appalachian State University,NC,2004,2927.0,5.15
Appalachian State University,NC,2005,3199.0,5.15
Appalachian State University,NC,2006,3280.0,5.15
Appalachian State University,NC,2007,4023.0,5.85
Appalachian State University,NC,2008,4241.0,6.55
Appalachian State University,NC,2009,4333.0,7.25
Appalachian State University,NC,2010,4491.0,7.25
Arizona State University,AZ,2009,5661.0,7.25
Arizona State University,AZ,2010,6844.0,7.25
Arizona State University East,AZ,1996,1950.0,4.75
Arizona State University East,AZ,1997,2008.0,5.15
Arizona State University East,AZ,1998,2006.0,5.15
Arizona State University East,AZ,1999,2110.0,5.15
Arizona State University East,AZ,2000,2205.11083984375,5.15
Arizona State University East,AZ,2001,2296.0,5.15
Arizona State University East,AZ,2002,2438.0,5.15
Arizona State University East,AZ,2003,2534.0,5.15
Arizona State University East,AZ,2004,3545.0,5.15
Arizona State University East,AZ,2005,4014.0,5.15
Arizona State University at the Downtown Phoenix Campus,AZ,2007,4688.0,5.85
Arizona State University at the Downtown Phoenix Campus,AZ,2008,4971.0,6.55
Arizona State University at the Polytechnic Campus,AZ,2006,4295.0,5.15
Arizona State University at the Polytechnic Campus,AZ,2007,4447.0,5.85
Arizona State University at the Polytechnic Campus,AZ,2008,4768.0,6.55
Arizona State University at the Tempe Campus,AZ,1987,1136.0,3.35
Arizona State University at the Tempe Campus,AZ,1988,1196.0,3.35
Arizona State University at the Tempe Campus,AZ,1989,1278.0,3.35
Arizona State University at the Tempe Campus,AZ,1990,1362.0,3.8
Arizona State University at the Tempe Campus,AZ,1991,1478.0,4.25
Arizona State University at the Tempe Campus,AZ,1992,1528.0,4.25
Arizona State University at the Tempe Campus,AZ,1993,1590.0,4.25
Arizona State University at the Tempe Campus,AZ,1994,1844.0,4.25
Arizona State University at the Tempe Campus,AZ,1995,1894.0,4.25
Arizona State University at the Tempe Campus,AZ,1996,1950.0,4.75
Arizona State University at the Tempe Campus,AZ,1997,2009.0,5.15
Arizona State University at the Tempe Campus,AZ,1998,2058.0,5.15
Arizona State University at the Tempe Campus,AZ,1999,2158.0,5.15
Arizona State University at the Tempe Campus,AZ,2000,2261.0,5.15
Arizona State University at the Tempe Campus,AZ,2001,2346.0,5.15
Arizona State University at the Tempe Campus,AZ,2002,2488.0,5.15
Arizona State University at the Tempe Campus,AZ,2003,2585.0,5.15
Arizona State University at the Tempe Campus,AZ,2004,3595.0,5.15
Arizona State University at the Tempe Campus,AZ,2005,4064.0,5.15
Arizona State University at the Tempe Campus,AZ,2006,4406.0,5.15
Arizona State University at the Tempe Campus,AZ,2007,4688.0,5.85
Arizona State University at the Tempe Campus,AZ,2008,4971.0,6.55
Arizona State University at the West Campus,AZ,1994,1794.0,4.25
Arizona State University at the West Campus,AZ,1995,1894.0,4.25
Arizona State University at the West Campus,AZ,1996,1950.0,4.75
Arizona State University at the West Campus,AZ,1997,2009.0,5.15
Arizona State University at the West Campus,AZ,1998,2059.0,5.15
Arizona State University at the West Campus,AZ,1999,2158.0,5.15
Arizona State University at the West Campus,AZ,2000,2191.0,5.15
Arizona State University at the West Campus,AZ,2001,2345.0,5.15
Arizona State University at the West Campus,AZ,2002,2488.0,5.15
Arizona State University at the West Campus,AZ,2003,2585.0,5.15
Arizona State University at the West Campus,AZ,2004,3595.0,5.15
Arizona State University at the West Campus,AZ,2005,4064.0,5.15
Arizona State University at the West Campus,AZ,2006,4346.0,5.15
Arizona State University at the West Campus,AZ,2007,4444.0,5.85
Arizona State University at the West Campus,AZ,2008,4766.0,6.55
Arkansas State University-Main Campus,AR,1987,882.0,3.35
Arkansas State University-Main Campus,AR,1988,1050.0,3.35
Arkansas State University-Main Campus,AR,1989,1250.0,3.35
Arkansas State University-Main Campus,AR,1990,1420.0,3.8
Arkansas State University-Main Campus,AR,1991,1420.0,4.25
Arkansas State University-Main Campus,AR,1992,1420.0,4.25
Arkansas State University-Main Campus,AR,1993,1610.0,4.25
Arkansas State University-Main Campus,AR,1994,1810.0,4.25
Arkansas State University-Main Campus,AR,1995,1930.0,4.25
Arkansas State University-Main Campus,AR,1996,1950.0,4.75
Arkansas State University-Main Campus,AR,1997,1970.0,5.15
Arkansas State University-Main Campus,AR,1998,2280.0,5.15
Arkansas State University-Main Campus,AR,1999,2804.0,5.15
Arkansas State University-Main Campus,AR,2000,2972.0,5.15
Arkansas State University-Main Campus,AR,2001,3160.0,5.15
Arkansas State University-Main Campus,AR,2002,4270.0,5.15
Arkansas State University-Main Campus,AR,2003,4480.0,5.15
Arkansas State University-Main Campus,AR,2004,4810.0,5.15
Arkansas State University-Main Campus,AR,2005,5155.0,5.15
Arkansas State University-Main Campus,AR,2006,5440.0,5.15
Arkansas State University-Main Campus,AR,2007,5710.0,5.85
Arkansas State University-Main Campus,AR,2008,6010.0,6.55
Arkansas State University-Main Campus,AR,2009,6370.0,7.25
Arkansas State University-Main Campus,AR,2010,6370.0,7.25
Arkansas Tech University,AR,1987,920.0,3.35
Arkansas Tech University,AR,1988,1090.0,3.35
Arkansas Tech University,AR,1989,1090.0,3.35
Arkansas Tech University,AR,1990,1260.0,3.8
Arkansas Tech University,AR,1991,1260.0,4.25
Arkansas Tech University,AR,1992,1460.0,4.25
Arkansas Tech University,AR,1993,1560.0,4.25
Arkansas Tech University,AR,1994,1710.0,4.25
Arkansas Tech University,AR,1995,1800.0,4.25
Arkansas Tech University,AR,1996,1910.0,4.75
Arkansas Tech University,AR,1997,1992.0,5.15
Arkansas Tech University,AR,1998,2126.0,5.15
Arkansas Tech University,AR,1999,2288.0,5.15
Arkansas Tech University,AR,2000,2462.0,5.15
Arkansas Tech University,AR,2001,2768.0,5.15
Arkansas Tech University,AR,2002,2976.0,5.15
Arkansas Tech University,AR,2003,3256.0,5.15
Arkansas Tech University,AR,2004,3574.0,5.15
Arkansas Tech University,AR,2005,3982.0,5.15
Arkansas Tech University,AR,2006,3818.0,5.15
Arkansas Tech University,AR,2007,3962.0,5.85
Arkansas Tech University,AR,2008,4154.0,6.55
Arkansas Tech University,AR,2009,4410.0,7.25
Arkansas Tech University,AR,2010,4554.0,7.25
Armstrong Atlantic State University,GA,1987,1207.0,3.35
Armstrong Atlantic State University,GA,1988,1269.0,3.35
Armstrong Atlantic State University,GA,1989,1269.0,3.35
Armstrong Atlantic State University,GA,1990,1365.0,3.8
Armstrong Atlantic State University,GA,1991,1413.0,4.25
Armstrong Atlantic State University,GA,1992,1467.0,4.25
Armstrong Atlantic State University,GA,1993,1521.0,4.25
Armstrong Atlantic State University,GA,1994,1568.0,4.25
Armstrong Atlantic State University,GA,1995,1623.0,4.25
Armstrong Atlantic State University,GA,1996,1719.0,4.75
Armstrong Atlantic State University,GA,1997,1836.0,5.15
Armstrong Atlantic State University,GA,1998,1962.0,5.15
Armstrong Atlantic State University,GA,1999,2020.0,5.15
Armstrong Atlantic State University,GA,2000,2098.0,5.15
Armstrong Atlantic State University,GA,2001,2242.0,5.15
Armstrong Atlantic State University,GA,2002,2314.0,5.15
Armstrong Atlantic State University,GA,2003,2392.0,5.15
Armstrong Atlantic State University,GA,2004,2602.0,5.15
Armstrong Atlantic State University,GA,2005,2602.0,5.15
Armstrong Atlantic State University,GA,2006,2924.0,5.15
Armstrong Atlantic State University,GA,2007,3062.0,5.85
Armstrong Atlantic State University,GA,2008,3262.0,6.55
Armstrong Atlantic State University,GA,2009,3616.0,7.25
Armstrong Atlantic State University,GA,2010,4048.0,7.25
Athens State University,AL,1987,1500.0,3.35
Athens State University,AL,1988,1155.0,3.35
Athens State University,AL,1989,1215.0,3.35
Athens State University,AL,1990,1215.0,3.8
Athens State University,AL,1991,1305.0,4.25
Athens State University,AL,1992,1420.0,4.25
Athens State University,AL,1993,1680.0,4.25
Athens State University,AL,1994,1485.0,4.25
Athens State University,AL,1995,1530.0,4.25
Athens State University,AL,1996,1884.0,4.75
Athens State University,AL,1997,1935.0,5.15
Athens State University,AL,1998,1905.0,5.15
Athens State University,AL,1999,2484.0,5.15
Athens State University,AL,2000,2400.0,5.15
Athens State University,AL,2001,2370.0,5.15
Athens State University,AL,2002,2730.0,5.15
Athens State University,AL,2003,3090.0,5.15
Athens State University,AL,2004,3570.0,5.15
Athens State University,AL,2005,3870.0,5.15
Athens State University,AL,2006,3870.0,5.15
Athens State University,AL,2007,3870.0,5.85
Athens State University,AL,2008,4050.0,6.55
Athens State University,AL,2009,4050.0,7.25
Athens State University,AL,2010,4350.0,7.25
Auburn University Main Campus,AL,1987,1220.0,3.35
Auburn University Main Campus,AL,1988,1323.0,3.35
Auburn University Main Campus,AL,1989,1323.0,3.35
Auburn University Main Campus,AL,1990,1476.0,3.8
Auburn University Main Campus,AL,1991,1476.0,4.25
Auburn University Main Campus,AL,1992,1596.0,4.25
Auburn University Main Campus,AL,1993,1755.0,4.25
Auburn University Main Campus,AL,1994,1950.0,4.25
Auburn University Main Campus,AL,1995,2100.0,4.25
Auburn University Main Campus,AL,1996,2250.0,4.75
Auburn University Main Campus,AL,1997,2355.0,5.15
Auburn University Main Campus,AL,1998,2565.0,5.15
Auburn University Main Campus,AL,1999,2760.0,5.15
Auburn University Main Campus,AL,2002,3380.0,5.15
Auburn University Main Campus,AL,2003,3784.0,5.15
Auburn University Main Campus,AL,2004,4426.0,5.15
Auburn University Main Campus,AL,2005,4828.0,5.15
Auburn University Main Campus,AL,2006,5278.0,5.15
Auburn University Main Campus,AL,2007,5496.0,5.85
Auburn University Main Campus,AL,2008,5834.0,6.55
Auburn University Main Campus,AL,2009,6500.0,7.25
Auburn University Main Campus,AL,2010,6972.0,7.25
Auburn University at Montgomery,AL,2010,5970.0,7.25
Auburn University-Montgomery,AL,1988,1095.0,3.35
Auburn University-Montgomery,AL,1989,1155.0,3.35
Auburn University-Montgomery,AL,1990,1215.0,3.8
Auburn University-Montgomery,AL,1991,1317.0,4.25
Auburn University-Montgomery,AL,1992,1428.0,4.25
Auburn University-Montgomery,AL,1993,1599.0,4.25
Auburn University-Montgomery,AL,1994,1800.0,4.25
Auburn University-Montgomery,AL,1995,1905.0,4.25
Auburn University-Montgomery,AL,1996,2025.0,4.75
Auburn University-Montgomery,AL,1997,2130.0,5.15
Auburn University-Montgomery,AL,1998,2289.0,5.15
Auburn University-Montgomery,AL,1999,2442.0,5.15
Auburn University-Montgomery,AL,2000,2960.0,5.15
Auburn University-Montgomery,AL,2001,3030.0,5.15
Auburn University-Montgomery,AL,2002,3440.0,5.15
Auburn University-Montgomery,AL,2003,3620.0,5.15
Auburn University-Montgomery,AL,2004,4130.0,5.15
Auburn University-Montgomery,AL,2005,4460.0,5.15
Auburn University-Montgomery,AL,2006,4870.0,5.15
Auburn University-Montgomery,AL,2007,5020.0,5.85
Auburn University-Montgomery,AL,2008,5010.0,6.55
Auburn University-Montgomery,AL,2009,5580.0,7.25
Augusta State University,GA,1987,1191.0,3.35
Augusta State University,GA,1988,1259.0,3.35
Augusta State University,GA,1989,1296.0,3.35
Augusta State University,GA,1990,1368.0,3.8
Augusta State University,GA,1991,1431.0,4.25
Augusta State University,GA,1992,1491.0,4.25
Augusta State University,GA,1993,1542.0,4.25
Augusta State University,GA,1994,1591.0,4.25
Augusta State University,GA,1995,1632.0,4.25
Augusta State University,GA,1996,1710.0,4.75
Augusta State University,GA,1997,1800.0,5.15
Augusta State University,GA,1998,1926.0,5.15
Augusta State University,GA,1999,1990.0,5.15
Augusta State University,GA,2000,2082.0,5.15
Augusta State University,GA,2001,2222.0,5.15
Augusta State University,GA,2002,2282.0,5.15
Augusta State University,GA,2003,2384.0,5.15
Augusta State University,GA,2004,2592.0,5.15
Augusta State University,GA,2005,2702.0,5.15
Augusta State University,GA,2006,2920.0,5.15
Augusta State University,GA,2007,3054.0,5.85
Augusta State University,GA,2008,3242.0,6.55
Augusta State University,GA,2009,3399.0,7.25
Augusta State University,GA,2010,3522.0,7.25
Austin Peay State University,TN,1987,1155.0,3.35
Austin Peay State University,TN,1988,1227.0,3.35
Austin Peay State University,TN,1989,1282.0,3.35
Austin Peay State University,TN,1990,1372.0,3.8
Austin Peay State University,TN,1991,1494.93615722656,4.25
Austin Peay State University,TN,1992,1628.0,4.25
Austin Peay State University,TN,1993,1726.0,4.25
Austin Peay State University,TN,1994,1800.0,4.25
Austin Peay State University,TN,1995,1878.0,4.25
Austin Peay State University,TN,1996,1946.0,4.75
Austin Peay State University,TN,1997,2108.0,5.15
Austin Peay State University,TN,1998,2280.0,5.15
Austin Peay State University,TN,1999,2470.0,5.15
Austin Peay State University,TN,2000,2659.05102539063,5.15
Austin Peay State University,TN,2001,2831.0,5.15
Austin Peay State University,TN,2002,3208.0,5.15
Austin Peay State University,TN,2003,3454.0,5.15
Austin Peay State University,TN,2004,4004.0,5.15
Austin Peay State University,TN,2005,4224.0,5.15
Austin Peay State University,TN,2006,4635.0,5.15
Austin Peay State University,TN,2007,4837.0,5.85
Austin Peay State University,TN,2008,5238.0,6.55
Austin Peay State University,TN,2009,5526.0,7.25
Austin Peay State University,TN,2010,5808.0,7.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1987,3845.0,3.35
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1988,3730.0,3.35
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1989,3420.0,3.35
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1990,3500.0,3.8
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1991,3500.0,4.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1992,4350.0,4.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1993,4350.0,4.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1994,4350.0,4.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1995,4400.0,4.25
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1996,4682.0,4.75
BETH EL COLLEGE OF NURSING AND HEALTH SCIENCE,CO,1997,4700.0,5.15
Ball State University,IN,1988,589.0,3.35
Ball State University,IN,1989,1876.0,3.35
Ball State University,IN,1990,1992.0,3.8
Ball State University,IN,1991,2110.0,4.25
Ball State University,IN,1992,2280.0,4.25
Ball State University,IN,1993,2464.0,4.25
Ball State University,IN,1994,2656.0,4.25
Ball State University,IN,1995,2864.0,4.25
Ball State University,IN,1996,3048.0,4.75
Ball State University,IN,1997,3188.0,5.15
Ball State University,IN,1998,3316.0,5.15
Ball State University,IN,1999,3454.0,5.15
Ball State University,IN,2000,3686.0,5.15
Ball State University,IN,2001,3830.0,5.15
Ball State University,IN,2002,4034.0,5.15
Ball State University,IN,2003,4700.0,5.15
Ball State University,IN,2004,4930.0,5.15
Ball State University,IN,2005,5672.0,5.15
Ball State University,IN,2006,6458.0,5.15
Ball State University,IN,2007,6810.0,5.85
Ball State University,IN,2008,7212.0,6.55
Ball State University,IN,2009,7500.0,7.25
Ball State University,IN,2010,7830.0,7.25
Bemidji State University,MN,1987,1687.0,3.35
Bemidji State University,MN,1988,1678.0,3.35
Bemidji State University,MN,1989,1683.0,3.35
Bemidji State University,MN,1990,1778.0,3.8
Bemidji State University,MN,1991,1885.0,4.25
Bemidji State University,MN,1992,2033.0,4.25
Bemidji State University,MN,1993,2413.0,4.25
Bemidji State University,MN,1994,2515.0,4.25
Bemidji State University,MN,1995,2639.0,4.25
Bemidji State University,MN,1996,2630.0,4.75
Bemidji State University,MN,1997,2925.0,5.15
Bemidji State University,MN,1998,2999.0,5.15
Bemidji State University,MN,1999,3010.0,5.15
Bemidji State University,MN,2000,3579.0,5.15
Bemidji State University,MN,2001,3574.0,5.15
Bemidji State University,MN,2002,4164.0,5.15
Bemidji State University,MN,2003,4476.0,5.15
Bemidji State University,MN,2004,5052.0,5.15
Bemidji State University,MN,2005,5652.0,5.15
Bemidji State University,MN,2006,6016.0,5.15
Bemidji State University,MN,2007,6488.0,5.85
Bemidji State University,MN,2008,6738.0,6.55
Bemidji State University,MN,2009,6995.0,7.25
Bemidji State University,MN,2010,7201.0,7.25
Benjamin Franklin Institute of Technology,MA,1990,6690.0,3.8
Benjamin Franklin Institute of Technology,MA,1991,7140.0,4.25
Benjamin Franklin Institute of Technology,MA,1992,7640.0,4.25
Benjamin Franklin Institute of Technology,MA,1993,7960.0,4.25
Benjamin Franklin Institute of Technology,MA,1994,8290.0,4.25
Benjamin Franklin Institute of Technology,MA,1995,8645.0,4.25
Benjamin Franklin Institute of Technology,MA,1996,8945.0,4.75
Benjamin Franklin Institute of Technology,MA,1997,9195.0,5.15
Benjamin Franklin Institute of Technology,MA,1998,9445.0,5.15
Benjamin Franklin Institute of Technology,MA,1999,9445.0,5.15
Benjamin Franklin Institute of Technology,MA,2000,9280.0,5.15
Benjamin Franklin Institute of Technology,MA,2001,9240.916015625,5.15
Benjamin Franklin Institute of Technology,MA,2002,10125.0,5.15
Benjamin Franklin Institute of Technology,MA,2003,11150.0,5.15
Benjamin Franklin Institute of Technology,MA,2004,11950.0,5.15
Benjamin Franklin Institute of Technology,MA,2005,12250.0,5.15
Benjamin Franklin Institute of Technology,MA,2006,12500.0,5.15
Benjamin Franklin Institute of Technology,MA,2007,12750.0,5.85
Benjamin Franklin Institute of Technology,MA,2008,12750.0,6.55
Black Hills State University,SD,1987,495.0,3.35
Black Hills State University,SD,1988,1249.0,3.35
Black Hills State University,SD,1989,1273.0,3.35
Black Hills State University,SD,1990,1630.0,3.8
Black Hills State University,SD,1991,1632.89599609375,4.25
Black Hills State University,SD,1992,1770.0,4.25
Black Hills State University,SD,1993,2126.0,4.25
Black Hills State University,SD,1994,2220.0,4.25
Black Hills State University,SD,1995,2257.0,4.25
Black Hills State University,SD,1996,2458.0,4.75
Black Hills State University,SD,1997,2502.0,5.15
Black Hills State University,SD,1998,2698.0,5.15
Black Hills State University,SD,1999,2920.0,5.15
Black Hills State University,SD,2000,3360.20947265625,5.15
Black Hills State University,SD,2001,3640.0,5.15
Black Hills State University,SD,2002,3871.0,5.15
Black Hills State University,SD,2003,4193.0,5.15
Black Hills State University,SD,2004,4548.0,5.15
Black Hills State University,SD,2005,4819.0,5.15
Black Hills State University,SD,2006,5072.0,5.15
Black Hills State University,SD,2007,5334.0,5.85
Black Hills State University,SD,2008,5803.0,6.55
Black Hills State University,SD,2009,6268.0,7.25
Black Hills State University,SD,2010,6641.0,7.25
Bloomsburg University of Pennsylvania,PA,1987,1680.0,3.35
Bloomsburg University of Pennsylvania,PA,1988,1990.0,3.35
Bloomsburg University of Pennsylvania,PA,1989,2290.0,3.35
Bloomsburg University of Pennsylvania,PA,1990,2398.0,3.8
Bloomsburg University of Pennsylvania,PA,1991,2660.56909179688,4.25
Bloomsburg University of Pennsylvania,PA,1992,2968.0,4.25
Bloomsburg University of Pennsylvania,PA,1993,3068.0,4.25
Bloomsburg University of Pennsylvania,PA,1994,3458.0,4.25
Bloomsburg University of Pennsylvania,PA,1995,3694.0,4.25
Bloomsburg University of Pennsylvania,PA,1996,3915.0,4.75
