instname,state,academicyear,tuitionfee02_tf,minimum_wage
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1987,2975.0,3.35
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1988,3275.0,3.35
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1989,3675.0,3.35
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1990,4075.0,3.8
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1992,5200.0,4.25
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1993,5785.0,4.25
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1994,6320.0,4.25
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1995,6628.0,4.25
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1996,7652.0,4.75
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1997,8178.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1998,8602.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,1999,8996.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,2000,9448.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,2001,9976.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,2002,10480.0,5.15
ALFRED UNIVERSITY- NY STATE COLLEGE OF CERAMICS,NY,2003,11010.0,5.15
Adams State College,CO,1987,1166.0,3.35
Adams State College,CO,1988,1220.0,3.35
Adams State College,CO,1989,1292.0,3.35
Adams State College,CO,1990,1350.0,3.8
Adams State College,CO,1991,1444.0,4.25
Adams State College,CO,1992,1569.0,4.25
Adams State College,CO,1993,1649.0,4.25
Adams State College,CO,1994,1675.0,4.25
Adams State College,CO,1995,1760.0,4.25
Adams State College,CO,1996,1820.0,4.75
Adams State College,CO,1997,1914.0,5.15
Adams State College,CO,1998,1936.0,5.15
Adams State College,CO,1999,2056.0,5.15
Adams State College,CO,2000,2092.0,5.15
Adams State College,CO,2001,2186.0,5.15
Adams State College,CO,2002,2278.0,5.15
Adams State College,CO,2003,2384.0,5.15
Adams State College,CO,2004,2482.0,5.15
Adams State College,CO,2005,2602.0,5.15
Adams State College,CO,2006,4773.0,5.15
Adams State College,CO,2007,2924.0,5.85
Adams State College,CO,2008,3466.0,6.55
Adams State College,CO,2009,3790.0,7.25
Adams State College,CO,2010,4454.0,7.25
Alabama A & M University,AL,1987,980.0,3.35
Alabama A & M University,AL,1988,1134.0,3.35
Alabama A & M University,AL,1989,1134.0,3.35
Alabama A & M University,AL,1990,1248.0,3.8
Alabama A & M University,AL,1991,1248.0,4.25
Alabama A & M University,AL,1992,1298.0,4.25
Alabama A & M University,AL,1993,1600.0,4.25
Alabama A & M University,AL,1994,1600.0,4.25
Alabama A & M University,AL,1995,1887.0,4.25
Alabama A & M University,AL,1996,2022.0,4.75
Alabama A & M University,AL,1997,2312.0,5.15
Alabama A & M University,AL,1998,2420.0,5.15
Alabama A & M University,AL,1999,2332.0,5.15
Alabama A & M University,AL,2000,2332.0,5.15
Alabama A & M University,AL,2001,2800.0,5.15
Alabama A & M University,AL,2002,2800.0,5.15
Alabama A & M University,AL,2003,3040.0,5.15
Alabama A & M University,AL,2004,3352.0,5.15
Alabama A & M University,AL,2005,3640.0,5.15
Alabama A & M University,AL,2006,3650.0,5.15
Alabama A & M University,AL,2007,3650.0,5.85
Alabama A & M University,AL,2008,4072.0,6.55
Alabama A & M University,AL,2009,4072.0,7.25
Alabama A & M University,AL,2010,4692.0,7.25
Alabama State University,AL,1987,969.0,3.35
Alabama State University,AL,1988,1044.0,3.35
Alabama State University,AL,1989,1074.0,3.35
Alabama State University,AL,1990,1074.0,3.8
Alabama State University,AL,1991,1268.0,4.25
Alabama State University,AL,1992,1268.0,4.25
Alabama State University,AL,1993,1608.0,4.25
Alabama State University,AL,1994,1638.0,4.25
Alabama State University,AL,1995,1608.0,4.25
Alabama State University,AL,1996,1752.0,4.75
Alabama State University,AL,1997,2090.0,5.15
Alabama State University,AL,1998,2090.0,5.15
Alabama State University,AL,1999,2090.0,5.15
Alabama State University,AL,2000,2520.0,5.15
Alabama State University,AL,2001,2520.0,5.15
Alabama State University,AL,2002,2904.0,5.15
Alabama State University,AL,2003,2904.0,5.15
Alabama State University,AL,2004,3600.0,5.15
Alabama State University,AL,2005,4008.0,5.15
Alabama State University,AL,2006,4008.0,5.15
Alabama State University,AL,2007,4008.0,5.85
