year	rank-01	rank-02	rank-03	rank-04	rank-05	rank-06	rank-07	rank-08	rank-09	rank-10	player-01	player-02	player-03	player-04	player-05	player-06	player-07	player-08	player-09	player-10
1871	4	4	4	3	3	3					Meyerle	Pike	Treacey	Bass	Cuthbert	Sutton				
1872	10	6	5	4	3	3	3	3	3	3	Pike	Treacey	Meyerle	Cuthbert	York	Bass	Wood	Hall	Sutton	Gedney
1873	14	8	7	6	5	5	4				Pike	Meyerle	Treacey	Cuthbert	York	Wright	Gedney			
1874	15	9	8	7	7	6	5	5	5	5	Pike	Meyerle	Cuthbert	Treacey	Wright	O'Rourke	Clapp	Gedney	McVey	York
1875	15	12	10	9	8	8	8	8	7	5	Pike	O'Rourke	Meyerle	Wright	Cuthbert	Hall	McVey	Start	Treacey	Clapp
1876	16	14	13	10	10	9	8	8	7	6	Pike	O'Rourke	Hall	Meyerle	Wright	McVey	Cuthbert	Start	Treacey	York
1877	20	14	13	10	10	9	9	8	8	7	Pike	O'Rourke	Hall	Meyerle	Wright	McVey	Start	Cuthbert	White	Treacey
1878	20	15	13	11	10	10	10	9	8	8	Pike	O'Rourke	Hall	McVey	Meyerle	Start	Wright	Jones	Cuthbert	White
1879	20	18	16	13	12	11	11	10	9	9	Pike	Jones	O'Rourke	Hall	Start	McVey	Wright	Meyerle	Hines	White
1880	23	22	20	13	12	12	11	11	10	9	Jones	O'Rourke	Pike	Hall	Hines	Start	McVey	Wright	Meyerle	Jo O'Rourke
1881	23	22	20	14	13	12	12	11	11	11	Jones	O'Rourke	Pike	Hines	Hall	Brouthers	Start	Wright	York	McVey
1882	24	23	20	18	18	13	13	13	12	12	O'Rourke	Jones	Pike	Brouthers	Hines	Bennett	Hall	Stovey	Start	York
1883	33	27	25	22	21	20	18	14	14	14	Jones	Stovey	O'Rourke	Hines	Brouthers	Pike	Bennett	Farrell	Wood	York
1884	40	37	35	35	30	27	26	26	25	24	Jones	Stovey	Brouthers	Williamson	O'Rourke	Pfeffer	Anson	Dalrymple	Hines	Dunlap
1885	50	45	42	38	37	35	33	32	31	27	Stovey	Jones	Brouthers	Williamson	Dalrymple	O'Rourke	Anson	Pfeffer	K Kelly	Wood
1886	57	53	51	44	43	40	39	36	35	35	Stovey	Brouthers	Jones	Williamson	Anson	Dalrymple	Pfeffer	O'Rourke	Hines	Kelly
1887	65	61	56	55	53	50	45	45	43	42	Brouthers	Stovey	Jones	Pfeffer	Williamson	Anson	Hines	Wood	Kelly	Dalrymple
1888	74	70	63	62	61	56	54	53	52	52	Brouthers	Stovey	Pfeffer	Anson	Williamson	Jones	Reilly	Connor	Denny	Kelly
1889	89	81	70	70	69	66	62	61	59	56	Stovey	Brouthers	Denny	Pfeffer	Anson	Connor	Williamson	Kelly	Reilly	Jones
1890	101	82	80	76	75	73	65	65	65	64	Stovey	Brouthers	Connor	Anson	Pfeffer	Denny	Kelly	Reilly	Wood	Williamson
1891	117	87	87	84	82	73	69	68	68	67	Stovey	Brouthers	Connor	Anson	Pfeffer	Denny	Reilly	Richardson	Wood	Kelly
1892	121	99	92	85	84	73	73	72	70	69	Stovey	Connor	Brouthers	Anson	Pfeffer	Denny	Ryan	Thompson	Richardson	Kelly
1893	122	110	94	87	85	83	77	76	74	70	Stovey	Connor	Brouthers	Pfeffer	Anson	Thompson	Tiernan	Ryan	Denny	Richardson
1894	122	118	103	96	92	90	82	79	74	70	Stovey	Connor	Brouthers	Thompson	Pfeffer	Anson	Tiernan	Ryan	Denny	Richardson
1895	126	122	114	105	92	92	89	85	74	73	Connor	Stovey	Thompson	Brouthers	Anson	Pfeffer	Tiernan	Ryan	Denny	Duffy
1896	137	126	122	106	96	94	94	88	78	74	Connor	Thompson	Stovey	Brouthers	Tiernan	Anson	Pfeffer	Ryan	Duffy	Denny
1897	138	126	122	106	101	97	94	93	89	74	Connor	Thompson	Stovey	Brouthers	Tiernan	Anson	Pfeffer	Ryan	Duffy	Denny
1898	138	127	122	106	106	97	97	97	94	76	Connor	Thompson	Stovey	Brouthers	Tiernan	Anson	Duffy	Ryan	Pfeffer	Clements
1899	138	127	122	106	106	102	100	97	94	80	Connor	Thompson	Stovey	Brouthers	Tiernan	Duffy	Ryan	Anson	Pfeffer	Delahanty
1900	138	127	122	106	106	105	104	97	94	86	Connor	Thompson	Stovey	Brouthers	Tiernan	Ryan	Duffy	Anson	Pfeffer	Long
1901	138	127	122	106	106	106	105	97	94	90	Connor	Thompson	Stovey	Brouthers	Duffy	Tiernan	Ryan	Anson	Pfeffer	Delahanty
1902	138	127	122	111	106	106	106	100	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1903	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1904	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1905	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1906	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1907	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1908	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1909	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1910	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1911	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1912	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1913	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1914	138	127	122	118	106	106	106	101	97	94	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Anson	Pfeffer
1915	138	127	122	118	106	106	106	101	100	97	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Wagner	Anson
1916	138	127	122	118	106	106	106	101	101	97	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Wagner	Anson
1917	138	127	122	118	106	106	106	101	101	98	Connor	Thompson	Stovey	Ryan	Brouthers	Duffy	Tiernan	Delahanty	Wagner	Cravath
1918	138	127	122	118	106	106	106	106	101	101	Connor	Thompson	Stovey	Ryan	Brouthers	Cravath	Duffy	Tiernan	Delahanty	Wagner
1919	138	127	122	118	118	106	106	106	101	101	Connor	Thompson	Stovey	Ryan	Cravath	Brouthers	Duffy	Tiernan	Delahanty	Wagner
1920	138	127	122	119	118	106	106	106	103	101	Connor	Thompson	Stovey	Cravath	Ryan	Brouthers	Duffy	Tiernan	Ruth	Delahanty
1921	162	138	127	122	119	118	106	106	106	101	Ruth	Connor	Thompson	Stovey	Cravath	Ryan	Brouthers	Duffy	Tiernan	Delahanty
1922	197	138	127	122	119	118	116	108	106	106	Ruth	Connor	Thompson	Stovey	Cravath	Ryan	Walker	C Williams	Brouthers	Duffy
1923	238	149	138	127	122	119	118	118	116	108	Ruth	C Williams	Connor	Thompson	Stovey	Cravath	Ryan	Walker	Hornsby	K Williams
1924	284	173	141	138	127	126	122	119	118	118	Ruth	C Williams	Hornsby	Connor	Thompson	K Williams	Stovey	Cravath	Ryan	Walker
1925	309	186	180	151	138	127	126	122	119	118	Ruth	C Williams	Hornsby	K Williams	Connor	Thompson	Wheat	Stovey	Cravath	Ryan
1926	356	204	191	168	138	131	127	126	123	122	Ruth	C Williams	Hornsby	K Williams	Connor	Wheat	Thompson	Fournier	Kelly	Stovey
1927	416	234	217	185	138	136	135	132	128	127	Ruth	C Williams	Hornsby	K Williams	Connor	Fournier	Heilmann	Wheat	Kelly	Thompson
1928	470	246	238	193	149	138	136	136	132	131	Ruth	C Williams	Hornsby	K Williams	Heilmann	Connor	Fournier	Meusel	Wheat	Kelly
1929	516	277	251	196	164	146	146	146	138	137	Ruth	Hornsby	C Williams	K Williams	Heilmann	Bottomley	Gehrig	Meusel	Connor	Wilson
1930	565	279	251	196	193	187	183	161	156	151	Ruth	Hornsby	C Williams	K Williams	Wilson	Gehrig	Heilmann	Bottomley	Meusel	Simmons
1931	611	295	251	233	206	196	183	173	170	169	Ruth	Hornsby	C Williams	Gehrig	Wilson	K Williams	Heilmann	Simmons	Bottomley	Goslin
1932	652	296	267	251	229	208	196	186	183	181	Ruth	Hornsby	Gehrig	C Williams	Wilson	Simmons	K Williams	Goslin	Heilmann	Bottomley
1933	686	299	299	251	238	222	222	196	196	194	Ruth	Gehrig	Hornsby	C Williams	Wilson	Foxx	Simmons	Goslin	K Williams	Bottomley
