year	rank-01	rank-02	rank-03	rank-04	rank-05	rank-06	rank-07	rank-08	rank-09	rank-10	player-01	player-02	player-03	player-04	player-05	player-06	player-07	player-08	player-09	player-10
1934	708	348	300	266	251	244	240	211	211	209	Ruth	Gehrig	Hornsby	Foxx	C Williams	Wilson	Simmons	Klein	Ott	Goslin
1935	714	378	302	300	256	251	244	242	232	218	Ruth	Gehrig	Foxx	Hornsby	Simmons	C Williams	Wilson	Ott	Klein	Goslin
1936	714	427	343	300	275	269	257	251	244	242	Ruth	Gehrig	Foxx	Hornsby	Ott	Simmons	Klein	C Williams	Wilson	Goslin
1937	714	464	379	306	301	277	272	251	246	244	Ruth	Gehrig	Foxx	Ott	Hornsby	Simmons	Klein	C Williams	Goslin	Wilson
1938	714	493	429	342	301	298	280	251	248	244	Ruth	Gehrig	Foxx	Ott	Hornsby	Simmons	Klein	C Williams	Goslin	Wilson
1939	714	493	464	369	305	301	292	251	248	244	Ruth	Gehrig	Foxx	Ott	Simmons	Hornsby	Klein	C Williams	Goslin	Wilson
1940	714	500	493	388	306	301	299	251	248	247	Ruth	Foxx	Gehrig	Ott	Simmons	Hornsby	Klein	C Williams	Goslin	Greenberg
1941	714	519	493	415	306	301	300	251	249	248	Ruth	Foxx	Gehrig	Ott	Simmons	Hornsby	Klein	C Williams	Greenberg	Goslin
1942	714	527	493	445	306	301	300	252	251	249	Ruth	Foxx	Gehrig	Ott	Simmons	Hornsby	Klein	Johnson	C Williams	Greenberg
1943	714	527	493	463	307	301	300	259	251	249	Ruth	Foxx	Gehrig	Ott	Simmons	Hornsby	Klein	Johnson	C Williams	Greenberg
1944	714	527	493	489	307	301	300	276	251	249	Ruth	Foxx	Gehrig	Ott	Simmons	Hornsby	Klein	Johnson	C Williams	Greenberg
1945	714	534	510	493	307	301	300	288	262	251	Ruth	Foxx	Ott	Gehrig	Simmons	Hornsby	Klein	Johnson	Greenberg	C Williams
1946	714	534	511	493	307	306	301	300	288	256	Ruth	Foxx	Ott	Gehrig	Simmons	Greenberg	Hornsby	Klein	Johnson	York
1947	714	534	511	493	331	307	301	300	288	277	Ruth	Foxx	Ott	Gehrig	Greenberg	Simmons	Hornsby	Klein	Johnson	York
1948	714	534	511	493	331	307	303	301	300	297	Ruth	Foxx	Ott	Gehrig	Greenberg	Simmons	DiMaggio	Hornsby	Klein	Mize
1949	714	534	511	493	331	317	316	307	301	300	Ruth	Foxx	Ott	Gehrig	Greenberg	DiMaggio	Mize	Simmons	Hornsby	Klein
1950	714	534	511	493	349	341	331	307	301	300	Ruth	Foxx	Ott	Gehrig	DiMaggio	Mize	Greenberg	Simmons	Hornsby	Klein
1951	714	534	511	493	361	351	331	323	307	301	Ruth	Foxx	Ott	Gehrig	DiMaggio	Mize	Greenberg	T Williams	Simmons	Hornsby
1952	714	534	511	493	361	355	331	324	307	301	Ruth	Foxx	Ott	Gehrig	DiMaggio	Mize	Greenberg	T Williams	Simmons	Hornsby
1953	714	534	511	493	361	359	337	331	329	307	Ruth	Foxx	Ott	Gehrig	DiMaggio	Mize	T Williams	Greenberg	Kiner	Simmons
1954	714	534	511	493	366	361	359	351	331	307	Ruth	Foxx	Ott	Gehrig	T Williams	DiMaggio	Mize	Kiner	Greenberg	Simmons
1955	714	534	511	493	394	369	361	359	331	325	Ruth	Foxx	Ott	Gehrig	T Williams	Kiner	DiMaggio	Mize	Greenberg	Musial
1956	714	534	511	493	418	369	361	359	352	331	Ruth	Foxx	Ott	Gehrig	T Williams	Kiner	DiMaggio	Mize	Musial	Greenberg
1957	714	534	511	493	456	381	369	361	359	331	Ruth	Foxx	Ott	Gehrig	T Williams	Musial	Kiner	DiMaggio	Mize	Greenberg
1958	714	534	511	493	482	398	369	361	359	331	Ruth	Foxx	Ott	Gehrig	T Williams	Musial	Kiner	DiMaggio	Mize	Greenberg
1959	714	534	511	493	492	412	369	361	359	354	Ruth	Foxx	Ott	Gehrig	T Williams	Musial	Kiner	DiMaggio	Mize	Snider
1960	714	534	521	511	493	429	369	368	361	359	Ruth	Foxx	T Williams	Ott	Gehrig	Musial	Kiner	Snider	DiMaggio	Mize
1961	714	534	521	511	493	444	384	374	370	369	Ruth	Foxx	T Williams	Ott	Gehrig	Musial	Snider	Mantle	Mathews	Kiner
1962	714	534	521	511	493	463	404	399	389	370	Ruth	Foxx	T Williams	Ott	Gehrig	Musial	Mantle	Mathews	Snider	Hodges
1963	714	534	521	511	493	475	422	419	406	403	Ruth	Foxx	T Williams	Ott	Gehrig	Musial	Mathews	Mantle	Mays	Snider
1964	714	534	521	511	493	475	454	453	445	407	Ruth	Foxx	T Williams	Ott	Gehrig	Musial	Mantle	Mays	Mathews	Snider
1965	714	534	521	511	505	493	477	475	473	407	Ruth	Foxx	T Williams	Ott	Mays	Gehrig	Mathews	Musial	Mantle	Snider
1966	714	542	534	521	511	496	493	493	475	442	Ruth	Mays	Foxx	T Williams	Ott	Mantle	Gehrig	Mathews	Musial	Aaron
1967	714	564	534	521	518	511	509	493	481	475	Ruth	Mays	Foxx	T Williams	Mantle	Ott	Mathews	Gehrig	Aaron	Musial
1968	714	587	536	534	521	512	511	510	493	475	Ruth	Mays	Mantle	Foxx	T Williams	Mathews	Ott	Aaron	Gehrig	Musial
1969	714	600	554	536	534	521	512	511	497	493	Ruth	Mays	Aaron	Mantle	Foxx	T Williams	Mathews	Ott	Banks	Gehrig
1970	714	628	592	536	534	521	512	511	509	493	Ruth	Mays	Aaron	Mantle	Foxx	T Williams	Mathews	Ott	Banks	Gehrig
1971	714	646	639	536	534	521	515	512	512	511	Ruth	Mays	Aaron	Mantle	Foxx	T Williams	Killebrew	Mathews	Banks	Ott
1972	714	673	654	541	536	534	522	521	512	512	Ruth	Aaron	Mays	Killebrew	Mantle	Foxx	Robinson	T Williams	Mathews	Banks
1973	714	713	660	552	546	536	534	521	512	512	Ruth	Aaron	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1974	733	714	660	574	559	536	534	521	512	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1975	745	714	660	583	573	536	534	521	512	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1976	755	714	660	586	573	536	534	521	512	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1977	755	714	660	586	573	536	534	521	512	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1978	755	714	660	586	573	536	534	521	512	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	Mathews	Banks
1979	755	714	660	586	573	536	534	521	520	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1980	755	714	660	586	573	536	534	521	521	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1981	755	714	660	586	573	536	534	521	521	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1982	755	714	660	586	573	536	534	521	521	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1983	755	714	660	586	573	536	534	521	521	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1984	755	714	660	586	573	536	534	521	521	512	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	T Williams	McCovey	Mathews
1985	755	714	660	586	573	536	534	530	521	521	Aaron	Ruth	Mays	Robinson	Killebrew	Mantle	Foxx	Jackson	T Williams	McCovey
1986	755	714	660	586	573	548	536	534	521	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Mantle	Foxx	T Williams	McCovey
1987	755	714	660	586	573	563	536	534	530	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Mantle	Foxx	Schmidt	T Williams
1988	755	714	660	586	573	563	542	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1989	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1990	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1991	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1992	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1993	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1994	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1995	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1996	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1997	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1998	755	714	660	586	573	563	548	536	534	521	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	T Williams
1999	755	714	660	586	573	563	548	536	534	522	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	Schmidt	Mantle	Foxx	McGwire
2000	755	714	660	586	573	563	554	548	536	534	Aaron	Ruth	Mays	Robinson	Killebrew	Jackson	McGwire	Schmidt	Mantle	Foxx
2001	755	714	660	586	583	573	567	563	548	536	Aaron	Ruth	Mays	Robinson	McGwire	Killebrew	Bonds	Jackson	Schmidt	Mantle
2002	755	714	660	613	586	583	573	563	548	536	Aaron	Ruth	Mays	Bonds	Robinson	McGwire	Killebrew	Jackson	Schmidt	Mantle
2003	755	714	660	658	586	583	573	563	548	539	Aaron	Ruth	Mays	Bonds	Robinson	McGwire	Killebrew	Jackson	Schmidt	Sosa
2004	755	714	703	660	586	583	574	573	563	551	Aaron	Ruth	Bonds	Mays	Robinson	McGwire	Sosa	Killebrew	Jackson	Palmeiro
2005	755	714	708	660	588	586	583	573	569	563	Aaron	Ruth	Bonds	Mays	Sosa	Robinson	McGwire	Killebrew	Palmeiro	Jackson
2006	755	734	714	660	588	586	583	573	569	563	Aaron	Bonds	Ruth	Mays	Sosa	Robinson	McGwire	Killebrew	Palmeiro	Griffey
2007	762	755	714	660	609	593	586	583	573	569	Bonds	Aaron	Ruth	Mays	Sosa	Griffey	Robinson	McGwire	Killebrew	Palmeiro
2008	762	755	714	660	611	609	586	583	573	569	Bonds	Aaron	Ruth	Mays	Griffey	Sosa	Robinson	McGwire	Killebrew	Palmeiro
2009	762	755	714	660	630	609	586	583	583	573	Bonds	Aaron	Ruth	Mays	Griffey	Sosa	Robinson	McGwire	Rodríguez	Killebrew
2010	762	755	714	660	630	613	609	589	586	583	Bonds	Aaron	Ruth	Mays	Griffey	Rodríguez	Sosa	Thome	Robinson	McGwire
2011	762	755	714	660	630	629	609	604	586	583	Bonds	Aaron	Ruth	Mays	Griffey	Rodríguez	Sosa	Thome	Robinson	McGwire
2012	762	755	714	660	647	630	612	609	586	583	Bonds	Aaron	Ruth	Mays	Rodríguez	Griffey	Thome	Sosa	Robinson	McGwire
2013	762	755	714	660	654	630	612	609	586	583	Bonds	Aaron	Ruth	Mays	Rodríguez	Griffey	Thome	Sosa	Robinson	McGwire
2014	762	755	714	660	654	630	612	609	586	583	Bonds	Aaron	Ruth	Mays	Rodríguez	Griffey	Thome	Sosa	Robinson	McGwire
2015	762	755	714	687	660	630	612	609	586	583	Bonds	Aaron	Ruth	Rodríguez	Mays	Griffey	Thome	Sosa	Robinson	McGwire
2016	762	755	714	687	660	630	612	609	586	583	Bonds	Aaron	Ruth	Rodríguez	Mays	Griffey	Thome	Sosa	Robinson	McGwire
